ano,mes,id_sh4,id_pais,sigla_uf,id_municipio,peso_liquido_kg,valor_fob_dolar
2000,11,4016,383,SP,3503208,3,61
2000,11,3301,81,SP,3503208,13840,2768
2000,10,805,467,SP,3503208,75840,16512
2000,10,2009,611,SP,3503208,37100,45718
2000,10,2009,87,SP,3503208,3302395,2146557
2000,10,3301,383,SP,3503208,55360,11072
2000,4,3301,754,SP,3503208,6747,7422
2000,4,2009,87,SP,3503208,1820000,1183000
2000,4,2009,611,SP,3503208,37100,45819
2000,6,2009,611,SP,3503208,18550,22909
2000,6,2009,47,SP,3503208,16430,19108
2000,6,2009,383,SP,3503208,181560,181560
2000,6,3301,383,SP,3503208,27680,5536
2000,6,2308,47,SP,3503208,1200,604
2000,6,2009,767,SP,3503208,1500000,1425000
2000,6,2009,87,SP,3503208,360000,234000
2000,6,3301,87,SP,3503208,13840,2768
2000,6,8419,383,SP,3503208,2693,48722
2000,5,3301,383,SP,3503208,27680,5536
2000,5,2009,611,SP,3503208,18550,22909
2000,5,3301,81,SP,3503208,27680,5536
2000,5,2009,163,SP,3503208,18550,23269
2000,5,3301,87,SP,3503208,13840,2768
2001,1,8410,72,SP,3503208,14500,109821
2001,1,2009,87,SP,3503208,2170834,1193959
2001,1,4016,383,SP,3503208,4,485
2000,3,2009,87,SP,3503208,3254886,2115676
2000,3,3301,87,SP,3503208,13840,4152
2000,3,2009,47,SP,3503208,15900,19038
2000,3,2009,163,SP,3503208,18550,23269
2000,3,2008,47,SP,3503208,1500,806
2001,2,2009,47,SP,3503208,14840,11176
2001,2,2009,611,SP,3503208,74200,54160
2001,2,2008,47,SP,3503208,3000,1659
2001,2,8802,863,SP,3503208,5670,4400000
2001,2,8501,379,SP,3503208,232263,515144
2001,2,2009,87,SP,3503208,2198495,1209173
2001,2,8410,72,SP,3503208,23200,175714
2000,9,2009,611,SP,3503208,18550,22859
2000,9,2308,47,SP,3503208,2310,1210
2000,9,2009,47,SP,3503208,16960,19063
2000,9,805,467,SP,3503208,99840,21792
2000,9,3301,827,SP,3503208,13840,2768
2000,9,2009,87,SP,3503208,3289727,2138323
2001,11,2101,715,SP,3503208,15,41
2001,11,3301,383,SP,3503208,11072,6643
2001,11,2009,87,SP,3503208,3293145,2601585
2001,11,8501,379,SP,3503208,40,4943
2001,11,2009,47,SP,3503208,18550,22312
2000,7,2009,611,SP,3503208,18550,22909
2000,7,2009,87,SP,3503208,6241941,4057262
2000,7,805,467,SP,3503208,22680,5040
2000,7,3301,754,SP,3503208,8996,9896
2001,12,2009,611,SP,3503208,74200,77179
2001,12,3301,754,SP,3503208,9515,11418
2001,12,3301,576,SP,3503208,13840,11764
2001,12,3301,827,SP,3503208,13840,11072
2001,12,2009,87,SP,3503208,2972256,2407527
2001,12,2009,383,SP,3503208,111250,111250
2001,12,2009,47,SP,3503208,18550,22312
2001,6,8501,379,SP,3503208,72604,230779
2001,6,3301,528,SP,3503208,692,623
2001,3,4016,383,SP,3503208,13,1056
2001,3,2009,611,SP,3503208,37100,27080
2001,3,3301,576,SP,3503208,13840,15544
2001,3,2009,87,SP,3503208,1100000,605000
2001,3,8501,87,SP,3503208,1,3642
2001,7,2009,767,SP,3503208,2518211,2014569
2001,7,2008,47,SP,3503208,1800,1017
2001,7,8503,379,SP,3503208,22625,6070
2001,7,2009,47,SP,3503208,16960,12978
2001,7,8501,379,SP,3503208,25165,55897
2001,10,2009,87,SP,3503208,3284735,2233620
2001,10,1701,285,SP,3503208,10000000,1940000
2001,10,3301,87,SP,3503208,57520,34512
2001,10,3301,827,SP,3503208,13840,8304
2001,10,2009,611,SP,3503208,37100,27080
2001,10,3301,754,SP,3503208,16781,20137
2001,10,8501,379,SP,3503208,2180,1128944
2001,4,8501,379,SP,3503208,207812,351037
2001,4,2009,47,SP,3503208,13780,10377
2001,4,2009,611,SP,3503208,55650,40620
2001,4,2008,47,SP,3503208,3450,1758
2001,4,3301,754,SP,3503208,6055,5450
2001,5,3301,754,SP,3503208,9169,8252
2001,5,2009,611,SP,3503208,111300,81240
2001,5,8501,379,SP,3503208,77879,474962
2001,5,2008,47,SP,3503208,1800,1017
2001,5,2009,47,SP,3503208,16960,12978
2001,9,2009,611,SP,3503208,18550,13540
2001,9,2101,337,SP,3503208,75,32
2001,9,2009,47,SP,3503208,18550,18797
2001,9,8501,379,SP,3503208,680,1309
2001,9,805,301,SP,3503208,2380348,457852
2002,10,2009,87,SP,3503208,3253804,3009769
2002,10,8410,72,SP,3503208,37700,285535
2002,10,402,199,SP,3503208,57336,59439
2002,10,2009,767,SP,3503208,3027770,2785548
2002,10,3301,754,SP,3503208,4671,14013
2002,10,402,820,SP,3503208,95558,70157
2002,10,402,88,SP,3503208,94800,69600
2001,8,8501,379,SP,3503208,2874,47022
2001,8,2009,611,SP,3503208,18550,13540
2001,8,805,301,SP,3503208,2384864,458530
2001,8,8410,72,SP,3503208,37700,285535
2001,8,805,467,SP,3503208,45360,9576
2001,8,2101,715,SP,3503208,15,53
2002,12,402,199,SP,3503208,38223,40313
2002,12,2009,611,SP,3503208,18550,22055
2002,12,3301,383,SP,3503208,13840,20760
2002,12,402,820,SP,3503208,76447,56125
