sigla_uf,id_municipio,quantidade_bovinos_total
PI,2203354,3719
PI,2203404,1143
PI,2203420,3182
PI,2203453,7753
PI,2203503,15474
PI,2203602,6351
PI,2203701,9225
PI,2203750,3354
PI,2203800,4741
PI,2203859,2641
PI,2203909,10882
PI,2204006,3022
PI,2204105,3314
PI,2204154,1621
PI,2204204,3690
PI,2204303,6134
PI,2204352,3254
PI,2204402,10671
PI,2204501,5283
PI,2204550,2128
PI,2204600,1306
PI,2204659,1593
PI,2204709,7020
PI,2204808,3969
PI,2204907,8954
PI,2205003,7509
PI,2205102,14178
PI,2205151,10918
PI,2205201,4195
PI,2205250,3362
PI,2205276,7416
PI,2205300,6757
PI,2205359,3509
PI,2205409,11402
PI,2205458,4594
PI,2205508,14443
PI,2205516,4184
PI,2205524,11912
PI,2205532,2619
PI,2205540,1330
PI,2205557,1850
PI,2205565,3530
PI,2205573,1187
PI,2205581,3076
PI,2205599,3860
PI,2205607,7566
PI,2205706,8959
PI,2205805,8088
PI,2205854,4341
PI,2205904,8013
PI,2205953,723
PI,2206001,5726
PI,2206050,2836
PI,2206100,2299
PI,2206209,7384
PI,2206308,203
PI,2206357,3605
PI,2206407,2723
PI,2206506,5529
PI,2206605,24805
PI,2206654,291
PI,2206670,4167
PI,2206696,3994
PI,2206704,6730
PI,2206720,4060
PI,2206753,3844
PI,2206803,4105
PI,2206902,7201
PI,2206951,4398
PI,2207009,13568
PI,2207108,2801
PI,2207207,2340
PI,2207306,3624
PI,2207355,5106
PI,2207405,7540
PI,2207504,5985
PI,2207553,2419
PI,2207603,44989
PI,2207702,6201
PI,2207751,4509
PI,2207777,5313
PI,2207793,1910
PI,2207801,9591
PI,2207850,2306
PI,2207900,5829
PI,2207934,5143
PI,2207959,5805
PI,2208007,9051
PI,2208106,15167
PI,2208205,7348
PI,2208304,13754
PI,2208403,11185
PI,2208502,3003
PI,2208551,6388
PI,2208601,1317
PI,2208650,5639
PI,2208700,12423
PI,2208809,3606
PI,2208858,15174
PI,2208874,6539
PI,2208908,9278
PI,2209005,5499
PI,2209104,5627
PI,2209153,19214
PI,2209203,14381
PI,2209302,14231
PI,2209351,942
PI,2209377,5429
PI,2209401,2640
PI,2209450,209
PI,2209500,5300
PI,2209559,1303
PI,2209609,6039
PI,2209658,3982
PI,2209708,5943
PI,2209757,6253
PI,2209807,2392
PI,2209856,1201
PI,2209872,2983
PI,2209906,8812
PI,2209955,1468
PI,2209971,2325
PI,2210003,6280
PI,2210052,8545
PI,2210102,308
PI,2210201,3420
PI,2210300,2878
PI,2210359,1947
PI,2210375,1537
PI,2210383,2354
PI,2210391,180
PI,2210409,16060
PI,2210508,6418
PI,2210607,4562
PI,2210623,282
PI,2210631,7888
PI,2210656,7211
PI,2210706,7404
PI,2210805,9933
PI,2210904,3667
PI,2210938,2221
PI,2210953,2587
PI,2210979,1233
PI,2211001,9627
PI,2211100,10153
PI,2211209,20823
PI,2211308,6771
PI,2211357,2541
PI,2211407,1542
PI,2211506,2286
PI,2211605,3568
PI,2211704,3555
CE,2300101,6181
CE,2300150,643
CE,2300200,6341
CE,2300309,45440
CE,2300408,11006
CE,2300507,788
CE,2300606,1582
CE,2300705,21885
CE,2300754,11312
CE,2300804,2700
CE,2300903,5339
CE,2301000,12279
CE,2301109,5422
CE,2301208,7298
CE,2301257,4837
CE,2301307,9714
CE,2301406,1252
CE,2301505,12408
CE,2301604,16420
CE,2301703,18401
CE,2301802,7170
CE,2301851,16484
CE,2301901,6652
CE,2301950,3591
CE,2302008,12372
CE,2302057,1008
CE,2302107,2533
CE,2302206,6841
CE,2302305,6145
CE,2302404,29794
CE,2302503,21974
CE,2302602,2360
CE,2302701,7768
CE,2302800,16048
CE,2302909,2986
CE,2303006,3830
CE,2303105,8689
CE,2303204,9993
CE,2303303,14553
CE,2303402,1076
CE,2303501,5203
CE,2303600,7393
CE,2303659,5146
CE,2303709,10627
CE,2303808,18832
CE,2303907,1079
CE,2303931,6736
CE,2303956,2109
CE,2304004,8226
CE,2304103,37214
CE,2304202,10214
CE,2304236,1981
CE,2304251,2675
CE,2304269,10831
CE,2304277,7347
CE,2304285,1048
CE,2304301,10931
CE,2304350,5435
CE,2304400,889
CE,2304459,665
CE,2304509,2123
CE,2304608,2145
CE,2304657,3196
CE,2304707,13674
CE,2304806,2846
CE,2304905,4268
CE,2304954,3975
CE,2305001,4374
CE,2305100,278
CE,2305209,13459
CE,2305233,6269
CE,2305266,10687
CE,2305308,3878
CE,2305332,7140
CE,2305357,2948
CE,2305407,28954
CE,2305506,40045
CE,2305605,35785
CE,2305654,7679
CE,2305704,9204
CE,2305803,7225
CE,2305902,9652
CE,2306009,15719
CE,2306108,13292
CE,2306207,1990
CE,2306256,2714
CE,2306306,4621
CE,2306405,15728
CE,2306504,7020
CE,2306553,6261
CE,2306603,4544
CE,2306702,37366
CE,2306801,13406
CE,2306900,33723
CE,2307007,12066
CE,2307106,9970
CE,2307205,3247
CE,2307254,1126
CE,2307304,7717
CE,2307403,19557
CE,2307502,18628
CE,2307601,18785
CE,2307635,11395
CE,2307650,786
CE,2307700,17936
CE,2307809,5070
CE,2307908,1231
CE,2308005,6685
CE,2308104,24724
CE,2308203,857
CE,2308302,12361
CE,2308351,24389
CE,2308377,6956
CE,2308401,13499
CE,2308500,32289
CE,2308609,9908
CE,2308708,47452
CE,2308807,3067
CE,2308906,5249
CE,2309003,2415
CE,2309102,713
CE,2309201,5985
CE,2309300,9454
CE,2309409,13624
CE,2309458,6902
CE,2309508,15038
CE,2309607,5739
CE,2309706,2118
CE,2309805,910
CE,2309904,1211
CE,2310001,3489
CE,2310100,3015
CE,2310209,1850
CE,2310258,2623
CE,2310308,19008
CE,2310407,2996
CE,2310506,19839
CE,2310605,3331
CE,2310704,11003
CE,2310803,4330
CE,2310852,3379
CE,2310902,13462
CE,2310951,3621
CE,2311009,4044
CE,2311108,10236
CE,2311207,7845
CE,2311231,8335
CE,2311264,14038
CE,2311306,27743
CE,2311355,22243
CE,2311405,70742
CE,2311504,3357
CE,2311603,1696
CE,2311702,4216
CE,2311801,22287
